region		FR	FR	FR	FR	FR	FR	FR	Europe	Europe	Europe	Europe	Europe	Europe	Europe	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	BRICS	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	Other_OECD	RoW	RoW	RoW	RoW	RoW	RoW	RoW
category		Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)
region	sector																																			
FR	Agriculture	18664.3590213	0	0	2013.4588647	2775.83291138	0	0	3680.07244587	7.47503231307	5.39624033621	478.788002123	84.0756998673	0	0	94.9335538932	3.12692198223	87.9949123669	16.7222907749	2.5732217682	0	0	1026.0387736	1.39254450833	1.24406813649	22.8871408152	29.7245855236	0	0	617.261682514	0.0016160135369	0.582417311877	14.9132418472	0.574786753584	0	0
FR	Crude coal	4.87845545342	0	0	0	3.6310511818	0	0	0.0514030877182	0	0	0.017754413568	0.0363476042217	0	0	1.46799166546e-08	0	0	1.06988361533e-08	0	0	0	0.000455747961572	0	0	3.5054424538e-08	0.000226846059953	0	0	0.23514529618	1.50033031297e-06	0.000235586629854	7.16097332621e-05	0	0	0
FR	Crude oil	0	0	0	0	0.169659425187	0	0	0	0	0	4.22166821067e-06	0.00120632799681	0	0	0	0	0	0	0	0	0	0	0	0	0.0202318295182	0.019135047782	0	0	0	0	8.13934243381e-06	0	0	0	0
FR	Natural gas	8925.81461151	0	0	0	0	0	0	9.5658873533e-08	0	0	0.3810198746	0.861669283803	0	0	2.67753064508e-07	0	0	4.54880430459e-10	0.00122224054081	0	0	3.36337407406e-10	0	0	0.00302692028411	4.69105412345e-05	0	0	0.0997237426372	3.6247963731e-07	2.24474416007e-05	0.0385963128746	0.670880763489	0	0
FR	Extractive industry	0	0	0	0	38.7371541146	0	0	5.10462163816	0	0	0.468772715365	12.3461824961	0	0	0.395043587018	0	0	0	0.350485172314	0	0	0.587652034992	2.05933592859e-05	3.77385743904e-06	0.0453508621937	0.603682205379	0	0	0.291805640666	1.88160608097e-08	0.0001562333661	0.00463252304403	0.0731272491659	0	0
FR	Biomass_industry	76454.8690938	0	324.020670344	0	574.994259309	0	0	15043.1398003	49.3472031997	10.5701260689	79.5766705202	190.130142351	0	0	875.533043956	4.11075045158	2.1954378913	2.11315045774	52.2734897572	0	0	10231.2110872	0.115965159406	1.85807508328	13.8136509894	93.9471049339	0	0	8126.448672	0.0945960368687	30.6419422385	58.3669873177	1.79779594304	0	0
FR	Clothing	5508.20119439	0	108.804224479	0	487.635098038	0	0	5477.08482639	3.20047860509	3.43720764497	24.7987946064	61.7205003097	0	0	323.276820992	0.376667952022	0.464347577783	0.264492860911	10.2662423253	0	0	3438.60403077	0	1.96308925356	6.2645312758	11.3548691611	0	0	2377.51288177	0.0138563649697	0.268528471121	46.4053893112	15.0457616129	0	0
FR	Heavy_industry	12856.1319432	0	41488.907349	298.832684386	839.239907252	0	0	2722.19733319	42.2131298705	1708.50939397	171.285276171	214.151932816	0	0	679.129193885	3.26778735274	13.493282407	33.9614443981	63.7059078076	0	0	2895.37992604	51.536417253	127.115611365	61.0220243216	99.1238643511	0	0	6738.19006001	14.0098690676	7.36513759874	59.5905302966	10.7691558409	0	0
FR	Construction	8796.46644765	0	0	242552.354641	324.691565029	0	0	14.46679124	2.24348439784e-05	0.394905794089	574.605336995	0.172939660337	0	0	10.600168662	0	0	744.790156424	0	0	0	0.0501371891919	0.0103781393339	0.00410350620984	576.357731736	0.284514901423	0	0	21.1410638288	0.00185140219793	0.170521495308	1502.08585959	0	0	0
FR	Automobile	26547.7846919	0	0	15072.078206	266.628307132	0	0	6427.25820155	7.48719317003	2.65311092691	9525.01244541	201.893273956	0	0	490.994867182	3.76114177084	3.05911449125	791.632439122	97.8560335671	0	0	3708.43909474	0	0	1993.57725275	93.6317316645	0	0	1820.64884591	0.00705376328028	0.218674760596	1648.61261563	9.97001086937	0	0
FR	Oth transport equipment	1421.34100997	0	79.6879635045	4344.0067782	651.940775199	0	0	1910.23109747	4.13216954968	57.8181918118	8647.56497587	195.172473884	0	0	318.387680661	0.549366618264	0.290206406334	4745.73609457	338.730657616	0	0	1229.49556765	0	1.51130588719	5374.20049389	232.804403986	0	0	1400.84441602	0.000495921638497	3.00841701653	5822.62120653	25.1088371105	0	0
FR	Machinery	4045.26155653	0	1073.34100266	15550.2844041	545.768260199	0	0	2616.25053862	16.6851076662	181.721496816	13858.6739472	396.813812582	0	0	356.164761045	1.15888029842	0.927003133349	1838.82203664	338.091358313	0	0	1885.16453921	0	33.4404344387	9115.9700389	148.035941587	0	0	2232.6655988	0.00270180899281	121.816562038	9737.84208987	29.891942284	0	0
