region	sector	unit
AT	Paddy rice	M.EUR
AT	Wheat	M.EUR
AT	Cereal grains nec	M.EUR
AT	Vegetables, fruit, nuts	M.EUR
AT	Oil seeds	M.EUR
AT	Sugar cane, sugar beet	M.EUR
AT	Plant-based fibers	M.EUR
AT	Crops nec	M.EUR
AT	Cattle	M.EUR
AT	Pigs	M.EUR
AT	Poultry	M.EUR
AT	Meat animals nec	M.EUR
AT	Animal products nec	M.EUR
AT	Raw milk	M.EUR
AT	Wool, silk-worm cocoons	M.EUR
AT	Manure (conventional treatment)	M.EUR
AT	Manure (biogas treatment)	M.EUR
AT	Products of forestry, logging and related services (02)	M.EUR
AT	Fish and other fishing products; services incidental of fishing (05)	M.EUR
AT	Anthracite	M.EUR
AT	Coking Coal	M.EUR
AT	Other Bituminous Coal	M.EUR
AT	Sub-Bituminous Coal	M.EUR
AT	Patent Fuel	M.EUR
AT	Lignite/Brown Coal	M.EUR
AT	BKB/Peat Briquettes	M.EUR
AT	Peat	M.EUR
AT	Crude petroleum and services related to crude oil extraction, excluding surveying	M.EUR
AT	Natural gas and services related to natural gas extraction, excluding surveying	M.EUR
AT	Natural Gas Liquids	M.EUR
AT	Other Hydrocarbons	M.EUR
AT	Uranium and thorium ores (12)	M.EUR
AT	Iron ores	M.EUR
AT	Copper ores and concentrates	M.EUR
AT	Nickel ores and concentrates	M.EUR
AT	Aluminium ores and concentrates	M.EUR
AT	Precious metal ores and concentrates	M.EUR
AT	Lead, zinc and tin ores and concentrates	M.EUR
AT	Other non-ferrous metal ores and concentrates	M.EUR
AT	Stone	M.EUR
AT	Sand and clay	M.EUR
AT	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	M.EUR
AT	Products of meat cattle	M.EUR
AT	Products of meat pigs	M.EUR
AT	Products of meat poultry	M.EUR
AT	Meat products nec	M.EUR
AT	products of Vegetable oils and fats	M.EUR
AT	Dairy products	M.EUR
AT	Processed rice	M.EUR
AT	Sugar	M.EUR
AT	Food products nec	M.EUR
AT	Beverages	M.EUR
AT	Fish products	M.EUR
AT	Tobacco products (16)	M.EUR
AT	Textiles (17)	M.EUR
AT	Wearing apparel; furs (18)	M.EUR
AT	Leather and leather products (19)	M.EUR
AT	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)	M.EUR
AT	Wood material for treatment, Re-processing of secondary wood material into new wood material	M.EUR
AT	Pulp	M.EUR
AT	Secondary paper for treatment, Re-processing of secondary paper into new pulp	M.EUR
AT	Paper and paper products	M.EUR
AT	Printed matter and recorded media (22)	M.EUR
AT	Coke Oven Coke	M.EUR
AT	Gas Coke	M.EUR
AT	Coal Tar	M.EUR
AT	Motor Gasoline	M.EUR
AT	Aviation Gasoline	M.EUR
AT	Gasoline Type Jet Fuel	M.EUR
AT	Kerosene Type Jet Fuel	M.EUR
AT	Kerosene	M.EUR
AT	Gas/Diesel Oil	M.EUR
AT	Heavy Fuel Oil	M.EUR
AT	Refinery Gas	M.EUR
AT	Liquefied Petroleum Gases (LPG)	M.EUR
AT	Refinery Feedstocks	M.EUR
AT	Ethane	M.EUR
AT	Naphtha	M.EUR
AT	White Spirit & SBP	M.EUR
AT	Lubricants	M.EUR
AT	Bitumen	M.EUR
